header	source	host	accession	country	strain	global_lineage	us_lineage	Vaccine_global_lineage	Vaccine_us_lineage	isalphadel
bg|CY195102|A/swine/Manitoba/D0303/2014|Canada|2014-01-07	bg	swine	CY195102	Canada	A/swine/Manitoba/D0303/2014	1A.1.1	alpha	n/a	n/a	alpha
bg|CY246235|A/swine/Manitoba/D0417/2016|Canada|2016-04-21	bg	swine	CY246235	Canada	A/swine/Manitoba/D0417/2016	1A.1.1	alpha	n/a	n/a	alpha
bg|CY245617|A/swine/Manitoba/SD0166/2016|Canada|2016-05-04	bg	swine	CY245617	Canada	A/swine/Manitoba/SD0166/2016	1A.1.1	alpha	n/a	n/a	alpha
bg|CY195263|A/swine/Manitoba/D0342/2014|Canada|2014-06-18	bg	swine	CY195263	Canada	A/swine/Manitoba/D0342/2014	1A.1.1	alpha	n/a	n/a	alpha
bg|CY194365|A/swine/Manitoba/D0175/2012|Canada|2012-10-23	bg	swine	CY194365	Canada	A/swine/Manitoba/D0175/2012	1A.1.1	alpha	n/a	n/a	alpha
bg|MK462902|A/swine/Manitoba/D0483/2017|Canada|2017-02-28	bg	swine	MK462902	Canada	A/swine/Manitoba/D0483/2017	1A.1.1	alpha	n/a	n/a	alpha
bg|MK462603|A/swine/Manitoba/D0495/2017|Canada|2017-04-12	bg	swine	MK462603	Canada	A/swine/Manitoba/D0495/2017	1A.1.1	alpha	n/a	n/a	alpha
bg|CY195583|A/swine/Manitoba/D0335/2014|Canada|2014-06-04	bg	swine	CY195583	Canada	A/swine/Manitoba/D0335/2014	1A.1.1	alpha	n/a	n/a	alpha
bg|MK328725|A/swine/Ontario/DM_11/2017|Canada|2017-01-16	bg	swine	MK328725	Canada	A/swine/Ontario/DM_11/2017	1A.1.1	alpha	n/a	n/a	alpha
bg|MK462515|A/swine/Manitoba/SD0216/2017|Canada|2017-01-27	bg	swine	MK462515	Canada	A/swine/Manitoba/SD0216/2017	1A.1.1	alpha	n/a	n/a	alpha
bg|CY245833|A/swine/Manitoba/D0389/2015|Canada|2015-06-09	bg	swine	CY245833	Canada	A/swine/Manitoba/D0389/2015	1A.1.1	alpha	n/a	n/a	alpha
bg|CY245584|A/swine/Saskatchewan/SD0136/2016|Canada|2016-01-13	bg	swine	CY245584	Canada	A/swine/Saskatchewan/SD0136/2016	1A.1.1	alpha	n/a	n/a	alpha
bg|CY195575|A/swine/Manitoba/D0333/2014|Canada|2014-05-14	bg	swine	CY195575	Canada	A/swine/Manitoba/D0333/2014	1A.1.1	alpha	n/a	n/a	alpha
bg|CY195078|A/swine/Alberta/SD0014/2013|Canada|2013-11-28	bg	swine	CY195078	Canada	A/swine/Alberta/SD0014/2013	1A.1.1	alpha	n/a	n/a	alpha
bg|CY245592|A/swine/Manitoba/SD0157/2016|Canada|2016-03-09	bg	swine	CY245592	Canada	A/swine/Manitoba/SD0157/2016	1A.1.1	alpha	n/a	n/a	alpha
bg|MK328628|A/swine/Quebec/DM_01/2016|Canada|2016-11-01	bg	swine	MK328628	Canada	A/swine/Quebec/DM_01/2016	1A.2	beta	n/a	n/a	not-alpha
bg|MK328741|A/swine/Ontario/DM_21/2017|Canada|2017-04-26	bg	swine	MK328741	Canada	A/swine/Ontario/DM_21/2017	1A.2	beta	n/a	n/a	not-alpha
bg|CY195207|A/swine/Saskatchewan/SD0033/2014|Canada|2014-05-08	bg	swine	CY195207	Canada	A/swine/Saskatchewan/SD0033/2014	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|CY245849|A/swine/Saskatchewan/SD0108/2015|Canada|2015-06-17	bg	swine	CY245849	Canada	A/swine/Saskatchewan/SD0108/2015	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MK462862|A/swine/Alberta/SD0242/2017|Canada|2017-05-29	bg	swine	MK462862	Canada	A/swine/Alberta/SD0242/2017	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|CY246763|A/swine/Saskatchewan/SD0205/2016|Canada|2016-12-13	bg	swine	CY246763	Canada	A/swine/Saskatchewan/SD0205/2016	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|CY194277|A/swine/Manitoba/D0171/2012|Canada|2012-05-03	bg	swine	CY194277	Canada	A/swine/Manitoba/D0171/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MK462854|A/swine/Alberta/SD0217/2017|Canada|2017-02-08	bg	swine	MK462854	Canada	A/swine/Alberta/SD0217/2017	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|CY195439|A/swine/Saskatchewan/SD0052/2014|Canada|2014-12-01	bg	swine	CY195439	Canada	A/swine/Saskatchewan/SD0052/2014	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KJ847678|A/swine/Canada/QC-8/2012|Canada|2012-09-25	bg	swine	KJ847678	Canada	A/swine/Canada/QC-8/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KJ847672|A/swine/Canada/AHL-19/2012|Canada|2012-11-01	bg	swine	KJ847672	Canada	A/swine/Canada/AHL-19/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|CY246219|A/swine/Saskatchewan/SD0163/2016|Canada|2016-04-13	bg	swine	CY246219	Canada	A/swine/Saskatchewan/SD0163/2016	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|CY194237|A/swine/Manitoba/D0170/2012|Canada|2012-03-16	bg	swine	CY194237	Canada	A/swine/Manitoba/D0170/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|CY194285|A/swine/Manitoba/D0172/2012|Canada|2012-05-10	bg	swine	CY194285	Canada	A/swine/Manitoba/D0172/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|CY195118|A/swine/Saskatchewan/SD0020/2013|Canada|2013-12-30	bg	swine	CY195118	Canada	A/swine/Saskatchewan/SD0020/2013	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|CY245825|A/swine/Manitoba/SD0106/2015|Canada|2015-06-04	bg	swine	CY245825	Canada	A/swine/Manitoba/SD0106/2015	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|CY246081|A/swine/Manitoba/D0438/2016|Canada|2016-01-14	bg	swine	CY246081	Canada	A/swine/Manitoba/D0438/2016	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MK462918|A/swine/Saskatchewan/SD0291/2018|Canada|2018-04-24	bg	swine	MK462918	Canada	A/swine/Saskatchewan/SD0291/2018	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MK462870|A/swine/Manitoba/D0496/2017|Canada|2017-04-12	bg	swine	MK462870	Canada	A/swine/Manitoba/D0496/2017	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KM489564|A/swine/Ontario/16-24/2012|Canada|2012-11-16	bg	swine	KM489564	Canada	A/swine/Ontario/16-24/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MK462306|A/swine/Saskatchewan/D0515/2017|Canada|2017-10-13	bg	swine	MK462306	Canada	A/swine/Saskatchewan/D0515/2017	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|CY195231|A/swine/Manitoba/D0338/2014|Canada|2014-06-04	bg	swine	CY195231	Canada	A/swine/Manitoba/D0338/2014	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MK462475|A/swine/Saskatchewan/SD0274/2018|Canada|2018-03-12	bg	swine	MK462475	Canada	A/swine/Saskatchewan/SD0274/2018	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|CY195271|A/swine/Saskatchewan/SD0037/2014|Canada|2014-06-20	bg	swine	CY195271	Canada	A/swine/Saskatchewan/SD0037/2014	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|CY245600|A/swine/Manitoba/D0442/2016|Canada|2016-05-03	bg	swine	CY245600	Canada	A/swine/Manitoba/D0442/2016	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|CY195431|A/swine/Saskatchewan/SD0053/2014|Canada|2014-12-04	bg	swine	CY195431	Canada	A/swine/Saskatchewan/SD0053/2014	1A.3.3.2	pandemic	n/a	n/a	not-alpha
map|swine|GQ223112|H1N1|npdm|A/MEXICO/4108/2009	map	swine	GQ223112	human strain	A/MEXICO/4108/2009	1A.3.3.2	pandemic	n/a	n/a	not-alpha
map|human-2|AJ457900|H1N1|delta-like|A/BEIJING/262/1995	map	human	AJ457900	human strain	A/BEIJING/262/1995	Vaccine	Vaccine	Other-Human-1B.2	delta-like	not-alpha
map|human-2|AJ457908|H1N1|delta-like|A/TEXAS/36/1991	map	human	AJ457908	human strain	A/TEXAS/36/1991	Vaccine	Vaccine	Other-Human-1B.2	delta-like	not-alpha
map|human-2|CY016324|H1N2|delta-like|A/MICHIGAN/2/2003	map	human	CY016324	human strain	A/MICHIGAN/2/2003	Vaccine	Vaccine	1B.2.2	delta-like	not-alpha
map|human-1|CY020293|H1N1|Other|A/BRAZIL/11/1978	map	human	CY020293	human strain	A/BRAZIL/11/1978	Vaccine	Vaccine	Other-Human	Other	not-alpha
map|human-2|CY020477|H1N1|delta-like|A/SINGAPORE/1986	map	human	CY020477	human strain	A/SINGAPORE/1986	Vaccine	Vaccine	Other-Human-1B.2	delta-like	not-alpha
map|human-1|CY121261|H1N1|Other|A/CHILE/1/1983	map	human	CY121261	human strain	A/CHILE/1/1983	Vaccine	Vaccine	Other-Human	Other	not-alpha
map|human-2|EU103824|H1N1|delta-like|A/NEW_CALEDONIA/20/1999	map	human	EU103824	human strain	A/NEW_CALEDONIA/20/1999	Vaccine	Vaccine	Other-Human-1B.2	delta-like	not-alpha
map|human-2|EU124135|H1N1|delta-like|A/SOLOMON_ISLANDS/3/2006	map	human	EU124135	human strain	A/SOLOMON_ISLANDS/3/2006	Vaccine	Vaccine	Other-Human-1B.2	delta-like	not-alpha
map|human-3|GQ280797|H1N1|npdm|A/CALIFORNIA/4/2009	map	human	GQ280797	human strain	A/CALIFORNIA/4/2009	Vaccine	Vaccine	1A.3.3.2	npdm	not-alpha
map|human-1|K01330|H1N1|Other|A/USSR/1977	map	human	K01330	human strain	A/USSR/1977	Vaccine	Vaccine	Other-Human	Other	not-alpha
map|human-2|KF009550|H1N1|delta-like|A/BRISBANE/59/2007	map	human	KF009550	human strain	A/BRISBANE/59/2007	Vaccine	Vaccine	Other-Human-1B.2	delta-like	not-alpha
map|human-3|KU933493|H1N1|npdm|A/MICHIGAN/45/2015	map	human	KU933493	human strain	A/MICHIGAN/45/2015	Vaccine	Vaccine	1A.3.3.2	npdm	not-alpha
map|human-2|X17224|H1N1|delta-like|A/TAIWAN/1/1986	map	human	X17224	human strain	A/TAIWAN/1/1986	Vaccine	Vaccine	Other-Human-1B.2	delta-like	not-alpha
bg|KU976536|A/swine/Mexico/AVX30/2012|Mexico|2012-09-14	bg	swine	KU976536	Mexico	A/swine/Mexico/AVX30/2012	1A.1-like	alpha	n/a	n/a	alpha
bg|MH061647|A/swine/Mexico/8935602/2012|Mexico|2012-02-23	bg	swine	MH061647	Mexico	A/swine/Mexico/8935602/2012	1A.2	beta	n/a	n/a	not-alpha
map|swine|KU976649|H1N1|gamma2-beta-like|A/SWINE/MEXICO/AVX23/2012	map	swine	KU976649	Mexico	A/SWINE/MEXICO/AVX23/2012	1A.3.1	gamma2-beta-like	n/a	n/a	not-alpha
bg|MH061783|A/swine/Mexico/9783445/2013|Mexico|2013-04-15	bg	swine	MH061783	Mexico	A/swine/Mexico/9783445/2013	1A.3.1	gamma2-beta-like	n/a	n/a	not-alpha
bg|KU976565|A/swine/Mexico/AVX63/2014|Mexico|2014-04-25	bg	swine	KU976565	Mexico	A/swine/Mexico/AVX63/2014	1A.3.1	gamma2-beta-like	n/a	n/a	not-alpha
map|swine|KU976796|H1N1|npdm|A/SWINE/MEXICO/AVX44/2012	map	swine	KU976796	Mexico	A/SWINE/MEXICO/AVX44/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
map|swine|KU976950|H1N1|npdm|A/SWINE/MEXICO/AVX31/2012	map	swine	KU976950	Mexico	A/SWINE/MEXICO/AVX31/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MH061527|A/swine/Mexico/10126158/2013|Mexico|2013-09-30	bg	swine	MH061527	Mexico	A/swine/Mexico/10126158/2013	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KU976655|A/swine/Mexico/AVX25/2012|Mexico|2012-04-27	bg	swine	KU976655	Mexico	A/swine/Mexico/AVX25/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MG836747|A/swine/Mexico/11004418/2014|Mexico|2014-12-01	bg	swine	MG836747	Mexico	A/swine/Mexico/11004418/2014	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KU976628|A/swine/Mexico/AVX27/2012|Mexico|2012-08-02	bg	swine	KU976628	Mexico	A/swine/Mexico/AVX27/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KU976844|A/swine/Mexico/AVX51/2013|Mexico|2013-05-08	bg	swine	KU976844	Mexico	A/swine/Mexico/AVX51/2013	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KU976948|A/swine/Mexico/AVX29/2012|Mexico|2012-09-14	bg	swine	KU976948	Mexico	A/swine/Mexico/AVX29/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MG836771|A/swine/Mexico/84703178820/2014|Mexico|2014-05-25	bg	swine	MG836771	Mexico	A/swine/Mexico/84703178820/2014	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KU976944|A/swine/Mexico/AVX55/2013|Mexico|2013-06-21	bg	swine	KU976944	Mexico	A/swine/Mexico/AVX55/2013	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KU976950|A/swine/Mexico/AVX31/2012|Mexico|2012-10-08	bg	swine	KU976950	Mexico	A/swine/Mexico/AVX31/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KU976541|A/swine/Mexico/AVX58/2013|Mexico|2013-06-28	bg	swine	KU976541	Mexico	A/swine/Mexico/AVX58/2013	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MG836795|A/swine/Mexico/84704755140/2014|Mexico|2014-08-17	bg	swine	MG836795	Mexico	A/swine/Mexico/84704755140/2014	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KT225468|A/swine/Mexico/GtoDMZC01/2014|Mexico|2014-11-04	bg	swine	KT225468	Mexico	A/swine/Mexico/GtoDMZC01/2014	1B.2.1	delta2	n/a	n/a	not-alpha
bg|KU976737|A/swine/Mexico/AVX47/2013|Mexico|2013-01-08	bg	swine	KU976737	Mexico	A/swine/Mexico/AVX47/2013	1C.2	Other	n/a	n/a	not-alpha
map|swine|KU976596|H1N2|delta-like|A/SWINE/MEXICO/AVX61/2013	map	swine	KU976596	Mexico	A/SWINE/MEXICO/AVX61/2013	Other-Human-1B.2	delta-like	n/a	n/a	not-alpha
map|swine|KU976609|H1N2|delta-like|A/SWINE/MEXICO/AVX18/2012	map	swine	KU976609	Mexico	A/SWINE/MEXICO/AVX18/2012	Other-Human-1B.2	delta-like	n/a	n/a	not-alpha
bg|KU976586|A/swine/Mexico/AVX17/2012|Mexico|2012-03-18	bg	swine	KU976586	Mexico	A/swine/Mexico/AVX17/2012	Other-Human-1B.2	delta-like	n/a	n/a	not-alpha
bg|KU976738|A/swine/Mexico/AVX50/2013|Mexico|2013-03-27	bg	swine	KU976738	Mexico	A/swine/Mexico/AVX50/2013	Other-Human-1B.2	delta-like	n/a	n/a	not-alpha
bg|KU976596|A/swine/Mexico/AVX61/2013|Mexico|2013-09-30	bg	swine	KU976596	Mexico	A/swine/Mexico/AVX61/2013	Other-Human-1B.2	delta-like	n/a	n/a	not-alpha
bg|KU976601|A/swine/Mexico/AVX16/2012|Mexico|2012-04-03	bg	swine	KU976601	Mexico	A/swine/Mexico/AVX16/2012	Other-Human-1B.2	delta-like	n/a	n/a	not-alpha
map|sw_to_human|EPI760602|H1N2|alpha|A/MINNESOTA/45/2016	map	sw_to_human	EPI760602	USA	A/MINNESOTA/45/2016	1A.1.1	alpha	n/a	n/a	alpha
map|sw_to_human|EPI587643|H1N1|gamma|A/OHIO/9/2015	map	sw_to_human	EPI587643	USA	A/OHIO/9/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
map|swine|EU139826|H1N1|alpha|A/SWINE/IOWA/1973	map	swine	EU139826	USA	A/SWINE/IOWA/1973	1A.1	alpha	n/a	n/a	alpha
map|swine|HM461762|H1N1|alpha|A/SWINE/MINNESOTA/02053/2008	map	swine	HM461762	USA	A/SWINE/MINNESOTA/02053/2008	1A.1.1	alpha	n/a	n/a	alpha
map|swine|KT313464|H1N2|alpha|A/SWINE/SOUTH_DAKOTA/A01823237/2015	map	swine	KT313464	USA	A/SWINE/SOUTH_DAKOTA/A01823237/2015	1A.1.1	alpha	n/a	n/a	alpha
map|swine|KT446464|H1N2|alpha-del|A/SWINE/IOWA/A02025359/2015	map	swine	KT446464	USA	A/SWINE/IOWA/A02025359/2015	1A.1.1	alpha	n/a	n/a	alpha-del
map|swine|KX928680|H1N2|alpha|A/SWINE/MINNESOTA/A01781045/2016	map	swine	KX928680	USA	A/SWINE/MINNESOTA/A01781045/2016	1A.1.1	alpha	n/a	n/a	alpha
bg|MK714853|A/swine/Ohio/A02431145/2019|USA|2019-03-05	bg	swine	MK714853	USA	A/swine/Ohio/A02431145/2019	1A.1.1	alpha	n/a	n/a	alpha
bg|MK890309|A/swine/Indiana/A01812291/2019|USA|2019-04-08	bg	swine	MK890309	USA	A/swine/Indiana/A01812291/2019	1A.1.1	alpha	n/a	n/a	alpha
bg|KY412998|A/swine/Iowa/A01668899/2016|USA|2016-12-01	bg	swine	KY412998	USA	A/swine/Iowa/A01668899/2016	1A.1.1	alpha	n/a	n/a	alpha
bg|MK208435|A/swine/Iowa/A02268403/2018|USA|2018-10-23	bg	swine	MK208435	USA	A/swine/Iowa/A02268403/2018	1A.1.1	alpha	n/a	n/a	alpha
bg|MG198969|A/swine/North_Carolina/A02221365/2017|USA|2017-09-13	bg	swine	MG198969	USA	A/swine/North_Carolina/A02221365/2017	1A.1.1	alpha	n/a	n/a	alpha
bg|MK418472|A/swine/Iowa/A02428120/2018|USA|2018-12-19	bg	swine	MK418472	USA	A/swine/Iowa/A02428120/2018	1A.1.1	alpha	n/a	n/a	alpha
bg|MG681967|A/swine/Minnesota/A02136750/2017|USA|2017-11-15	bg	swine	MG681967	USA	A/swine/Minnesota/A02136750/2017	1A.1.1	alpha	n/a	n/a	alpha
bg|MN225003|A/swine/Iowa/A02478576/2019|USA|2019-07-02	bg	swine	MN225003	USA	A/swine/Iowa/A02478576/2019	1A.1.1	alpha	n/a	n/a	alpha
bg|MN450669|A/swine/Nebraska/A02478621/2019|USA|2019-08-19	bg	swine	MN450669	USA	A/swine/Nebraska/A02478621/2019	1A.1.1	alpha	n/a	n/a	alpha
bg|KU598281|A/swine/Iowa/A01729216/2016|USA|2016-01-06	bg	swine	KU598281	USA	A/swine/Iowa/A01729216/2016	1A.1.1	alpha	n/a	n/a	alpha
bg|MH396716|A/swine/Illinois/A02157600/2018|USA|2018-04-08	bg	swine	MH396716	USA	A/swine/Illinois/A02157600/2018	1A.1.1	alpha	n/a	n/a	alpha
bg|KY348348|A/swine/Minnesota/A01668519/2016|USA|2016-11-14	bg	swine	KY348348	USA	A/swine/Minnesota/A01668519/2016	1A.1.1	alpha	n/a	n/a	alpha
bg|MK208421|A/swine/North_Carolina/A02268302/2018|USA|2018-10-24	bg	swine	MK208421	USA	A/swine/North_Carolina/A02268302/2018	1A.1.1	alpha	n/a	n/a	alpha
bg|MK358872|A/swine/Utah/A02271044/2018|USA|2018-11-28	bg	swine	MK358872	USA	A/swine/Utah/A02271044/2018	1A.1.1	alpha	n/a	n/a	alpha
bg|MG548011|A/swine/Iowa/A02134233/2017|USA|2017-10-18	bg	swine	MG548011	USA	A/swine/Iowa/A02134233/2017	1A.1.1	alpha	n/a	n/a	alpha
bg|MH910361|A/swine/Iowa/A02256552/2018|USA|2018-08-16	bg	swine	MH910361	USA	A/swine/Iowa/A02256552/2018	1A.1.1	alpha	n/a	n/a	alpha
bg|MG266069|A/swine/Minnesota/A01785306/2017|USA|2017-10-03	bg	swine	MG266069	USA	A/swine/Minnesota/A01785306/2017	1A.1.1	alpha	n/a	n/a	alpha
bg|MK452392|A/swine/Illinois/A02270010/2018|USA|2018-11-15	bg	swine	MK452392	USA	A/swine/Illinois/A02270010/2018	1A.1.1	alpha	n/a	n/a	alpha
bg|MN150162|A/swine/North_Carolina/A02478543/2019|USA|2019-06-14	bg	swine	MN150162	USA	A/swine/North_Carolina/A02478543/2019	1A.1.1	alpha	n/a	n/a	alpha
bg|MH279981|A/swine/North_Carolina/A02157639/2018|USA|2018-04-10	bg	swine	MH279981	USA	A/swine/North_Carolina/A02157639/2018	1A.1.1	alpha	n/a	n/a	alpha
bg|MN507706|A/swine/North_Carolina/A02245230/2019|USA|2019-08-30	bg	swine	MN507706	USA	A/swine/North_Carolina/A02245230/2019	1A.1.1	alpha	n/a	n/a	alpha
bg|MN086862|A/swine/Illinois/A02478513/2019|USA|2019-05-21	bg	swine	MN086862	USA	A/swine/Illinois/A02478513/2019	1A.1.1	alpha	n/a	n/a	alpha
bg|MN307914|A/swine/Iowa/A02478587/2019|USA|2019-07-19	bg	swine	MN307914	USA	A/swine/Iowa/A02478587/2019	1A.1.1	alpha	n/a	n/a	alpha
map|swine|HM461786|H1N1|beta|A/SWINE/KENTUCKY/02086/2008	map	swine	HM461786	USA	A/SWINE/KENTUCKY/02086/2008	1A.2	beta	n/a	n/a	not-alpha
bg|KU143622|A/swine/Iowa/A01795483/2015|USA|2015-10-20	bg	swine	KU143622	USA	A/swine/Iowa/A01795483/2015	1A.2	beta	n/a	n/a	not-alpha
bg|KF569208|A/swine/Illinois/A01244964/2013|USA|2013-08-	bg	swine	KF569208	USA	A/swine/Illinois/A01244964/2013	1A.2	beta	n/a	n/a	not-alpha
bg|MH223576|A/swine/Kansas/A01785469/2018|USA|2018-03-15	bg	swine	MH223576	USA	A/swine/Kansas/A01785469/2018	1A.2	beta	n/a	n/a	not-alpha
bg|KX008705|A/swine/Oklahoma/A01732565/2016|USA|2016-02-24	bg	swine	KX008705	USA	A/swine/Oklahoma/A01732565/2016	1A.2	beta	n/a	n/a	not-alpha
bg|JX422344|A/swine/Nebraska/A01327890/2012|USA|2012-05-07	bg	swine	JX422344	USA	A/swine/Nebraska/A01327890/2012	1A.2	beta	n/a	n/a	not-alpha
bg|KC167168|A/swine/SouthDakota/A01267955/2012|USA|2012-10-25	bg	swine	KC167168	USA	A/swine/SouthDakota/A01267955/2012	1A.2	beta	n/a	n/a	not-alpha
bg|KU598241|A/swine/Nebraska/A01941636/2015|USA|2015-12-22	bg	swine	KU598241	USA	A/swine/Nebraska/A01941636/2015	1A.2	beta	n/a	n/a	not-alpha
bg|MH182123|A/swine/Minnesota/A01785474/2018|USA|2018-03-20	bg	swine	MH182123	USA	A/swine/Minnesota/A01785474/2018	1A.2	beta	n/a	n/a	not-alpha
bg|JX656982|A/swine/Nebraska/A01301493/2012|USA|2012-08-28	bg	swine	JX656982	USA	A/swine/Nebraska/A01301493/2012	1A.2	beta	n/a	n/a	not-alpha
bg|KY499611|A/swine/Oklahoma/A01671784/2016|USA|2016-12-30	bg	swine	KY499611	USA	A/swine/Oklahoma/A01671784/2016	1A.2	beta	n/a	n/a	not-alpha
bg|JX975041|A/swine/South_Dakota/23/2012|USA|2012-09-25	bg	swine	JX975041	USA	A/swine/South_Dakota/23/2012	1A.2	beta	n/a	n/a	not-alpha
bg|JX422227|A/swine/Illinois/A01241173/2012|USA|2012-01-10	bg	swine	JX422227	USA	A/swine/Illinois/A01241173/2012	1A.2	beta	n/a	n/a	not-alpha
